,price,volume
220750,220750,0
220775,220775,0
220800,220800,0
220825,220825,0
220850,220850,0
220875,220875,0
220900,220900,0
220925,220925,0
220950,220950,0
220975,220975,0
221000,221000,0
221025,221025,0
221050,221050,0
221075,221075,0
221100,221100,0
221125,221125,0
221150,221150,0
221175,221175,0
221200,221200,0
221225,221225,0
221250,221250,0
221275,221275,0
221300,221300,0
221325,221325,0
221350,221350,0
221375,221375,0
221400,221400,0
221425,221425,0
221450,221450,0
221475,221475,0
221500,221500,0
221525,221525,0
221550,221550,0
221575,221575,0
221600,221600,0
221625,221625,0
221650,221650,0
221675,221675,0
221700,221700,0
221725,221725,0
221750,221750,0
221775,221775,0
221800,221800,0
221825,221825,0
221850,221850,0
221875,221875,0
221900,221900,0
221925,221925,0
221950,221950,0
221975,221975,0
222000,222000,0
222025,222025,0
222050,222050,0
222075,222075,0
222100,222100,0
222125,222125,0
222150,222150,0
222175,222175,0
222200,222200,0
222225,222225,0
222250,222250,0
222275,222275,0
222300,222300,0
222325,222325,0
222350,222350,0
222375,222375,0
222400,222400,0
222425,222425,0
222450,222450,0
222475,222475,0
222500,222500,0
222525,222525,0
222550,222550,0
222575,222575,0
222600,222600,0
222625,222625,0
222650,222650,0
222675,222675,0
222700,222700,0
222725,222725,0
222750,222750,0
222775,222775,0
222800,222800,0
222825,222825,0
222850,222850,0
222875,222875,0
222900,222900,0
222925,222925,0
222950,222950,0
222975,222975,0
223000,223000,0
223025,223025,0
223050,223050,0
223075,223075,0
223100,223100,0
223125,223125,0
223150,223150,0
223175,223175,0
223200,223200,0
223225,223225,0
223250,223250,0
223275,223275,0
223300,223300,0
223325,223325,0
223350,223350,0
223375,223375,0
223400,223400,0
223425,223425,0
223450,223450,0
223475,223475,0
223500,223500,0
223525,223525,0
223550,223550,0
223575,223575,0
223600,223600,0
223625,223625,0
223650,223650,0
223675,223675,0
223700,223700,0
223725,223725,0
223750,223750,0
223775,223775,0
223800,223800,0
223825,223825,0
223850,223850,0
223875,223875,0
223900,223900,0
223925,223925,0
223950,223950,0
223975,223975,0
224000,224000,0
224025,224025,0
224050,224050,0
224075,224075,0
224100,224100,0
224125,224125,0
224150,224150,0
224175,224175,0
224200,224200,0
224225,224225,0
224250,224250,0
224275,224275,0
224300,224300,0
224325,224325,0
224350,224350,0
224375,224375,0
224400,224400,0
224425,224425,0
224450,224450,0
224475,224475,0
224500,224500,0
224525,224525,0
224550,224550,0
224575,224575,0
224600,224600,0
224625,224625,0
224650,224650,0
224675,224675,0
224700,224700,0
224725,224725,0
224750,224750,0
224775,224775,0
224800,224800,0
224825,224825,0
224850,224850,0
224875,224875,0
224900,224900,0
224925,224925,0
224950,224950,0
224975,224975,0
225000,225000,0
225025,225025,0
225050,225050,0
225075,225075,0
225100,225100,0
225125,225125,0
225150,225150,0
225175,225175,0
225200,225200,0
225225,225225,0
225250,225250,0
225275,225275,0
225300,225300,0
225325,225325,0
225350,225350,0
225375,225375,0
225400,225400,0
225425,225425,0
225450,225450,0
225475,225475,0
225500,225500,0
225525,225525,0
225550,225550,0
225575,225575,0
225600,225600,0
225625,225625,0
225650,225650,0
225675,225675,0
225700,225700,0
225725,225725,0
225750,225750,0
225775,225775,0
225800,225800,0
225825,225825,0
225850,225850,0
225875,225875,0
225900,225900,0
225925,225925,0
225950,225950,0
225975,225975,0
226000,226000,0
226025,226025,0
226050,226050,0
226075,226075,0
226100,226100,0
226125,226125,0
226150,226150,0
226175,226175,0
226200,226200,0
226225,226225,0
226250,226250,0
226275,226275,0
226300,226300,0
226325,226325,0
226350,226350,0
226375,226375,0
226400,226400,0
226425,226425,0
226450,226450,0
226475,226475,0
226500,226500,0
226525,226525,0
226550,226550,0
226575,226575,0
226600,226600,0
226625,226625,0
226650,226650,0
226675,226675,0
226700,226700,0
226725,226725,0
226750,226750,0
226775,226775,0
226800,226800,0
226825,226825,0
226850,226850,0
226875,226875,0
226900,226900,0
226925,226925,0
226950,226950,0
226975,226975,0
227000,227000,0
227025,227025,0
227050,227050,0
227075,227075,0
227100,227100,0
227125,227125,0
227150,227150,0
227175,227175,0
227200,227200,0
227225,227225,0
227250,227250,0
227275,227275,0
227300,227300,0
227325,227325,0
227350,227350,0
227375,227375,0
227400,227400,0
227425,227425,0
227450,227450,0
227475,227475,0
227500,227500,0
227525,227525,0
227550,227550,0
227575,227575,0
227600,227600,0
227625,227625,0
227650,227650,0
227675,227675,0
227700,227700,0
227725,227725,0
227750,227750,0
227775,227775,0
227800,227800,0
227825,227825,0
227850,227850,0
227875,227875,0
227900,227900,0
227925,227925,0
227950,227950,0
227975,227975,0
228000,228000,0
228025,228025,0
228050,228050,0
228075,228075,0
228100,228100,0
228125,228125,0
228150,228150,0
228175,228175,0
228200,228200,0
228225,228225,0
228250,228250,0
228275,228275,0
228300,228300,0
228325,228325,0
228350,228350,0
228375,228375,0
228400,228400,0
228425,228425,0
228450,228450,0
228475,228475,0
228500,228500,0
228525,228525,0
228550,228550,0
228575,228575,0
228600,228600,0
228625,228625,0
228650,228650,0
228675,228675,0
228700,228700,0
228725,228725,0
228750,228750,0
228775,228775,0
228800,228800,0
228825,228825,0
228850,228850,0
228875,228875,0
228900,228900,0
228925,228925,0
228950,228950,0
228975,228975,0
229000,229000,0
229025,229025,0
229050,229050,0
229075,229075,0
229100,229100,0
229125,229125,0
229150,229150,0
229175,229175,0
229200,229200,0
229225,229225,0
229250,229250,0
229275,229275,0
229300,229300,0
229325,229325,0
229350,229350,0
229375,229375,0
229400,229400,0
229425,229425,0
229450,229450,0
229475,229475,0
229500,229500,0
229525,229525,0
229550,229550,0
229575,229575,0
229600,229600,0
229625,229625,0
229650,229650,0
229675,229675,0
229700,229700,0
229725,229725,0
229750,229750,0
229775,229775,0
229800,229800,0
229825,229825,0
229850,229850,0
229875,229875,0
229900,229900,0
229925,229925,0
229950,229950,0
229975,229975,0
230000,230000,0
230025,230025,0
230050,230050,0
230075,230075,0
230100,230100,0
230125,230125,0
230150,230150,0
230175,230175,0
230200,230200,0
230225,230225,0
230250,230250,0
230275,230275,0
230300,230300,0
230325,230325,0
230350,230350,0
230375,230375,0
230400,230400,0
230425,230425,0
230450,230450,0
230475,230475,0
230500,230500,0
230525,230525,0
230550,230550,0
230575,230575,1
230600,230600,1
230625,230625,1
230650,230650,1
230675,230675,1
230700,230700,1
230725,230725,1
230750,230750,1
230775,230775,1
230800,230800,1
230825,230825,1
230850,230850,1
230875,230875,1
230900,230900,1
230925,230925,1
230950,230950,1
230975,230975,1
231000,231000,1
231025,231025,1
231050,231050,1
231075,231075,1
231100,231100,1
231125,231125,1
231150,231150,1
231175,231175,1
231200,231200,1
231225,231225,1
231250,231250,1
231275,231275,1
231300,231300,1
231325,231325,1
231350,231350,2
231375,231375,2
231400,231400,2
231425,231425,2
231450,231450,2
231475,231475,2
231500,231500,2
231525,231525,1
231550,231550,1
231575,231575,1
231600,231600,1
231625,231625,1
231650,231650,1
231675,231675,1
231700,231700,2
231725,231725,2
231750,231750,3
231775,231775,4
231800,231800,5
231825,231825,5
231850,231850,5
231875,231875,5
231900,231900,5
231925,231925,5
231950,231950,5
231975,231975,6
232000,232000,6
232025,232025,6
232050,232050,6
232075,232075,6
232100,232100,6
232125,232125,6
232150,232150,6
232175,232175,6
232200,232200,4
232225,232225,4
232250,232250,4
232275,232275,4
232300,232300,4
232325,232325,4
232350,232350,4
232375,232375,4
232400,232400,4
232425,232425,4
232450,232450,4
232475,232475,3
232500,232500,3
232525,232525,2
232550,232550,2
232575,232575,2
232600,232600,1
232625,232625,1
232650,232650,1
232675,232675,1
232700,232700,1
232725,232725,1
232750,232750,1
232775,232775,0
232800,232800,0
232825,232825,0
232850,232850,0
232875,232875,1
232900,232900,1
232925,232925,1
232950,232950,1
232975,232975,1
233000,233000,2
233025,233025,2
233050,233050,2
233075,233075,2
233100,233100,2
233125,233125,2
233150,233150,5
233175,233175,5
233200,233200,6
233225,233225,6
233250,233250,6
233275,233275,7
233300,233300,7
233325,233325,7
233350,233350,7
233375,233375,7
233400,233400,7
233425,233425,8
233450,233450,9
233475,233475,10
233500,233500,11
233525,233525,11
233550,233550,12
233575,233575,12
233600,233600,13
233625,233625,12
233650,233650,12
233675,233675,11
233700,233700,11
233725,233725,12
233750,233750,12
233775,233775,14
233800,233800,14
233825,233825,14
233850,233850,14
233875,233875,14
233900,233900,14
233925,233925,14
233950,233950,14
233975,233975,15
234000,234000,13
234025,234025,13
234050,234050,13
234075,234075,14
234100,234100,14
234125,234125,15
